"Importado","AireAcondicionado","Codigo","Cilindraje","Potencia"
1,1,801273,2497,218
1,1,801274,1596,114
1,1,801275,2979,230
1,1,801276,2996,272
1,1,801277,1796,140
1,1,801278,2497,204
1,1,801279,1895,140
1,1,801280,2497,204
1,1,801281,2497,204
1,1,801282,2979,306
1,1,801283,1995,143
1,1,801284,4395,408
1,1,801285,1995,163
1,1,801286,1995,170
1,1,801287,2996,258
1,1,801288,2996,258
1,1,801289,4395,407
1,1,801290,1995,143
1,1,801291,2497,218
1,1,801292,2996,230
1,1,801293,1995,184
1,1,801294,2993,245
1,1,801295,2996,258
1,1,801296,2979,306
1,1,801297,2993,245
1,1,801298,1596,115
1,1,801299,2979,320
1,1,801300,2497,218
1,1,801301,2979,340
1,1,801302,2979,306
1,1,801303,1995,156
1,1,801304,2979,306
1,1,801305,4395,408
1,1,801306,1995,170
1,1,801307,3999,420
1,0,801308,1766,90
1,1,801309,1995,184
1,1,801310,2996,258
1,1,801311,1997,184
1,1,801312,1997,184
1,1,801313,2979,306
1,1,801314,1598,136
1,1,801315,2996,160
1,1,801316,1991,148
1,1,801317,2996,272
1,1,801318,1598,136
1,1,801319,1598,170
1,1,801320,1995,177
1,1,801321,5972,445
1,1,801322,1997,245
1,1,801323,1995,163
1,1,801324,2979,306
1,1,801325,1995,184
1,1,801326,1598,170
1,1,801327,1598,136
1,1,801328,1997,184
1,1,801329,1997,184
1,1,801330,4395,560
1,1,801331,2979,306
1,1,801332,1991,125
1,1,801333,3999,420
1,1,801334,1997,245
1,1,801335,2494,192
1,1,801336,1997,245
1,1,801337,1997,184
1,1,801338,2979,320
1,1,801339,2979,340
1,1,801340,1598,136
1,1,801341,1598,136
1,1,801342,2979,320
1,1,801343,1593,136
1,1,801344,1995,156
1,1,801345,1593,136
1,1,801346,1995,184
1,1,801347,3246,343
1,1,801348,2979,320
1,1,801349,1598,102
1,1,801350,4395,560
1,1,801351,1997,184
1,1,801352,2979,320
1,1,801353,2998,230
1,1,801354,3999,420
1,1,801355,3246,343
1,1,801356,1596,115
1,1,801357,1997,245
1,1,801358,2979,320
1,1,801359,2979,306
1,1,801360,2979,306
1,1,801361,1997,184
1,1,801362,1997,245
1,1,801363,1997,184
1,1,801364,2979,326
1,1,801365,1997,184
1,1,801366,2979,320
1,1,801367,1593,136
1,1,801368,1997,184
1,1,801369,1598,136
1,1,801370,1598,170
1,1,801371,2979,431
1,1,801372,1997,184
1,1,801373,1997,245
1,1,801374,4395,560
1,1,801375,0,170
1,1,801376,3201,321
1,1,801377,2979,431
1,1,801378,2979,431
1,1,801379,2979,306
1,1,801380,1997,245
1,1,801381,2979,431
1,1,801382,1598,170
1,1,801383,2979,306
1,1,801384,1997,184
1,1,801385,1499,136
1,1,801386,1598,177
1,1,801387,1598,177
1,1,801388,2979,326
1,1,801389,1998,252
1,1,801390,2998,326
1,1,801391,1995,184
1,1,801392,1997,184
1,1,801393,2979,306
1,1,801394,4999,507
1,1,801395,1998,252
1,1,801396,2998,340
1,1,801397,2998,340
1,1,801398,1998,181
1,1,801399,2998,326
1,1,801400,2998,340
1,1,801401,2979,370
1,1,801402,1598,136
1,1,801403,1596,114
1,1,801404,1998,252
1,1,801405,1499,136
1,1,801406,1998,252
1,1,801407,2998,340
1,1,806001,2494,168
1,1,806002,2494,192
1,1,806003,2793,196
1,1,806004,1991,152
1,1,806005,1991,152
1,1,806006,2979,231
1,1,806008,2793,193
1,1,806009,2793,192
1,1,806012,2494,192
1,1,806014,2793,196
1,1,806015,1991,126
1,1,806016,2997,218
1,1,806017,2494,192
1,1,806018,4398,290
1,1,806019,2793,192
1,1,806020,1995,177
1,1,806021,2996,265
1,1,806022,2996,265
1,1,806023,1995,177
1,1,806024,2996,218
1,1,806025,1995,150
1,1,806026,1995,150
1,1,806027,1995,143
1,1,806028,1997,184
1,1,806029,1998,192
1,1,806030,1995,150
1,1,808001,4398,320
1,1,808002,4619,342
1,1,808003,2979,231
1,1,808004,2979,231
1,1,808005,2494,192
1,1,808006,4799,360
1,1,808007,2979,231
1,1,808008,2979,231
1,1,808009,2996,272
1,1,808010,2497,218
1,1,808011,2996,272
1,1,808012,4799,355
1,1,808013,4799,355
1,1,808014,2996,272
1,1,808015,2979,306
1,1,808016,4395,407
1,1,808017,1995,177
1,1,808018,2996,272
1,1,808019,2993,245
1,1,808020,4395,407
1,1,808021,2979,306
1,1,808022,1995,177
1,1,808023,4395,555
1,1,808024,1995,184
1,1,808025,2996,258
1,1,808026,4395,555
1,1,808027,2979,306
1,1,808028,1997,184
1,1,808029,2979,306
1,1,808030,1997,184
1,1,808031,2993,258
1,1,808032,2993,245
1,1,808033,1995,184
1,1,808034,2993,245
1,1,808035,2993,245
1,1,808036,1997,245
1,1,808037,1997,245
1,1,808038,2979,306
1,1,808039,4395,450
1,1,808040,2993,258
1,1,808041,2979,306
1,1,808042,1997,184
1,1,808043,1997,245
1,1,808044,1995,190
1,1,808045,2993,258
