"Estado","Nacionalidad","Combustible","Puertas","Transmision","Codigo"
"Activo","ALE","GSL",2,"4X2",801020
"Activo","ALE","GSL",4,"4X2",801024
"Activo","ALE","GSL",4,"4X2",801025
"Activo","ALE","GSL",4,"4X2",801028
"Activo","ALE","GSL",4,"4X2",801030
"Activo","ALE","GSL",2,"4X2",801031
"Activo","ALE","GSL",4,"4X2",801041
"Activo","ALE","GSL",4,"4X2",801044
"Activo","ALE","GSL",4,"4X2",801045
"Activo","ALE","GSL",2,"4X2",801046
"Activo","ALE","GSL",4,"4X2",801047
"Activo","ALE","GSL",4,"4X2",801048
"Activo","ALE","GSL",2,"4X2",801049
"Activo","ALE","GSL",4,"4X2",801050
"Activo","ALE","GSL",4,"4X2",801051
"Activo","ALE","GSL",2,"4X2",801052
"Activo","ALE","GSL",4,"4X2",801053
"Activo","ALE","GSL",2,"4X2",801054
"Activo","ALE","GSL",2,"4X2",801055
"Activo","ALE","GSL",2,"4X2",801056
"Activo","ALE","GSL",4,"4X2",801057
"Activo","ALE","GSL",4,"4X2",801060
"Activo","ALE","GSL",4,"4X2",801061
"Activo","ALE","GSL",2,"4X2",801062
"Activo","ALE","GSL",2,"4X2",801063
"Activo","ALE","GSL",2,"4X2",801064
"Activo","ALE","GSL",4,"4X2",801066
"Activo","ALE","GSL",4,"4X2",801067
"Activo","ALE","GSL",2,"4X2",801068
"Activo","ALE","GSL",3,"4X2",801069
"Activo","ALE","GSL",3,"4X2",801070
"Activo","ALE","GSL",2,"4X2",801071
"Activo","ALE","GSL",4,"4X2",801073
"Activo","ALE","GSL",4,"4X2",801074
"Activo","ALE","GSL",2,"4X2",801075
"Activo","ALE","GSL",4,"4X2",801076
"Activo","ALE","GSL",4,"4X2",801077
"Activo","ALE","GSL",4,"4X2",801078
"Activo","ALE","GSL",4,"4X2",801079
"Activo","ALE","GSL",4,"4X2",801080
"Activo","ALE","GSL",4,"4X2",801081
"Activo","ALE","GSL",4,"4X2",801083
"Activo","ALE","GSL",3,"4X2",801084
"Activo","ALE","GSL",4,"4X2",801088
"Activo","ALE","GSL",4,"4X2",801089
"Activo","ALE","GSL",4,"4X2",801090
"Activo","ALE","GSL",4,"4X2",801091
"Activo","ALE","GSL",2,"4X2",801093
"Activo","ALE","GSL",4,"4X2",801095
"Activo","ALE","GSL",4,"4X2",801096
"Activo","ALE","GSL",4,"4X2",801097
"Activo","ALE","GSL",4,"4X2",801098
"Activo","ALE","GSL",4,"4X2",801099
"Activo","ALE","GSL",4,"4X2",801103
"Activo","ALE","GSL",4,"4X2",801106
"Activo","ALE","GSL",2,"4X2",801107
"Activo","ALE","GSL",2,"4X2",801108
"Activo","ALE","GSL",2,"4X2",801109
"Activo","ALE","GSL",4,"4X2",801110
"Activo","ALE","GSL",4,"4X2",801111
"Activo","ALE","GSL",2,"4X2",801112
"Activo","ALE","GSL",2,"4X2",801114
"Activo","ALE","GSL",3,"4X2",801118
"Activo","ALE","GSL",2,"4X2",801121
"Activo","ALE","GSL",4,"4X2",801122
"Activo","ALE","GSL",4,"4X2",801123
"Activo","ALE","GSL",2,"4X2",801125
"Activo","ALE","GSL",4,"4X2",801126
"Activo","ALE","GSL",4,"4X2",801127
"Activo","ALE","GSL",4,"4X2",801129
"Activo","ALE","GSL",5,"4X2",801130
"Activo","ALE","GSL",4,"4X2",801133
"Activo","ALE","GSL",2,"4X2",801134
"Activo","ALE","GSL",2,"4X2",801135
"Activo","ALE","GSL",2,"4X2",801137
"Activo","ALE","GSL",4,"4X2",801138
"Activo","ALE","GSL",4,"4X2",801140
"Activo","ALE","GSL",2,"4X2",801143
"Activo","ALE","GSL",4,"4X2",801144
"Activo","ALE","GSL",4,"4X2",801145
"Activo","ALE","GSL",5,"4X2",801146
"Activo","ALE","GSL",5,"4X2",801148
"Activo","ALE","GSL",4,"4X2",801149
"Activo","ALE","GSL",4,"4X4",801150
"Activo","ALE","GSL",5,"4X2",801151
"Activo","ALE","GSL",4,"4X2",801152
"Activo","ALE","GSL",4,"4X2",801153
"Activo","ALE","GSL",4,"4X2",801154
"Activo","ALE","GSL",4,"4X2",801156
"Activo","ALE","GSL",2,"4X2",801157
"Activo","ALE","GSL",4,"4X2",801158
"Activo","ALE","GSL",4,"4X2",801160
"Activo","ALE","GSL",4,"4X2",801161
"Activo","ALE","GSL",2,"4X2",801162
"Activo","ALE","GSL",2,"4X2",801164
"Activo","ALE","GSL",2,"4X2",801165
"Activo","ALE","GSL",2,"4X2",801166
"Activo","ALE","GSL",2,"4X2",801167
"Activo","ALE","GSL",4,"4X2",801168
"Activo","ALE","GSL",5,"4X2",801169
"Activo","ALE","GSL",4,"4X2",801170
"Activo","ALE","GSL",4,"4X2",801171
"Activo","ALE","GSL",4,"4X2",801172
"Activo","ALE","GSL",2,"4X2",801173
"Activo","ALE","GSL",4,"4X2",801174
"Activo","ALE","GSL",4,"4X2",801175
"Activo","ALE","GSL",2,"4X2",801176
"Activo","ALE","GSL",4,"4X2",801177
"Activo","ALE","GSL",4,"4X2",801178
"Activo","ALE","GSL",4,"4X2",801179
"Activo","ALE","GSL",2,"4X2",801180
"Activo","ALE","GSL",4,"4X2",801181
"Activo","ALE","GSL",4,"4X2",801182
"Activo","ALE","GSL",4,"4X2",801183
"Activo","ALE","GSL",2,"4X2",801184
"Activo","ALE","GSL",2,"4X2",801185
"Activo","ALE","GSL",4,"4X4",801186
"Activo","ALE","GSL",2,"4X2",801187
"Activo","ALE","GSL",4,"4X2",801188
"Activo","ALE","GSL",2,"4X2",801189
"Activo","ALE","GSL",4,"4X2",801190
"Activo","ALE","GSL",4,"4X2",801191
"Activo","ALE","GSL",4,"4X2",801192
"Activo","ALE","GSL",4,"4X2",801193
"Activo","ALE","GSL",2,"4X2",801194
"Activo","ALE","GSL",4,"4X2",801195
"Activo","ALE","GSL",2,"4X2",801196
"Activo","ALE","GSL",2,"4X2",801197
"Activo","ALE","GSL",2,"4X2",801198
"Activo","ALE","GSL",4,"4X2",801199
"Activo","ALE","GSL",4,"4X2",801200
"Activo","ALE","GSL",4,"4X2",801201
"Activo","ALE","GSL",4,"4X2",801202
"Activo","ALE","GSL",4,"4X2",801203
"Activo","ALE","GSL",4,"4X2",801204
"Activo","ALE","GSL",4,"4X2",801205
"Activo","ALE","GSL",4,"4X2",801206
"Activo","ALE","GSL",4,"4X2",801207
"Activo","ALE","GSL",2,"4X2",801208
"Activo","ALE","GSL",4,"4X2",801209
"Activo","ALE","GSL",2,"4X2",801210
"Activo","ALE","GSL",2,"4X2",801211
"Activo","ALE","GSL",4,"4X2",801212
"Activo","ALE","GSL",2,"4X2",801213
"Activo","ALE","GSL",4,"4X2",801214
"Activo","ALE","GSL",2,"4X2",801215
"Activo","ALE","GSL",2,"4X2",801216
"Activo","ALE","GSL",2,"4X2",801217
"Activo","ALE","GSL",2,"4X2",801218
"Activo","ALE","GSL",4,"4X2",801219
"Activo","ALE","GSL",4,"4X2",801220
"Activo","ALE","GSL",4,"4X2",801221
"Activo","ALE","GSL",4,"4X2",801222
"Activo","ALE","GSL",4,"4X2",801223
"Activo","ALE","GSL",5,"4X2",801224
"Activo","ALE","GSL",2,"4X2",801225
"Activo","ALE","GSL",4,"4X2",801226
"Activo","ALE","GSL",2,"4X2",801227
"Activo","ALE","GSL",2,"4X2",801228
"Activo","ALE","GSL",4,"4X2",801229
"Activo","ALE","GSL",2,"4X2",801230
"Activo","ALE","GSL",3,"4X2",801231
"Activo","ALE","GSL",4,"4X2",801232
"Activo","ALE","GSL",2,"4X2",801233
"Activo","ALE","GSL",4,"4X2",801234
"Activo","ALE","GSL",4,"4X2",801235
"Activo","ALE","GSL",4,"4X2",801236
"Activo","ALE","GSL",4,"4X2",801237
"Activo","ALE","GSL",2,"4X2",801238
"Activo","ALE","GSL",4,"4X2",801239
"Activo","ALE","GSL",4,"4X2",801240
"Activo","ALE","GSL",4,"4X2",801241
"Activo","ALE","GSL",4,"4X2",801242
"Activo","ALE","GSL",2,"4X2",801243
"Activo","ALE","GSL",2,"4X2",801244
"Activo","ALE","GSL",4,"4X2",801245
"Activo","ALE","GSL",4,"4X2",801246
"Activo","ALE","GSL",3,"4X2",801247
"Activo","ALE","GSL",2,"4X2",801248
"Activo","ALE","GSL",4,"4X2",801249
"Activo","ALE","GSL",4,"4X2",801250
"Activo","ALE","GSL",2,"4X2",801251
"Activo","ALE","GSL",2,"4X2",801252
"Activo","ALE","GSL",4,"4X2",801253
"Activo","ALE","GSL",4,"4X2",801254
"Activo","ALE","GSL",4,"4X2",801255
"Activo","ALE","GSL",4,"4X2",801256
"Activo","ALE","GSL",4,"4X2",801257
"Activo","ALE","GSL",4,"4X2",801258
"Activo","ALE","GSL",4,"4X2",801259
"Activo","ALE","GSL",4,"4X2",801260
"Activo","ALE","GSL",4,"4X2",801261
"Activo","ALE","GSL",4,"4X2",801262
"Activo","ALE","GSL",2,"4X2",801263
"Activo","ALE","GSL",2,"4X2",801264
"Activo","ALE","DSL",4,"4X2",801265
"Activo","ALE","DSL",4,"4X2",801266
"Activo","ALE","DSL",4,"4X2",801267
"Activo","ALE","GSL",4,"4X2",801268
"Activo","ALE","GSL",4,"4X2",801269
"Activo","ALE","GSL",4,"4X2",801270
"Activo","USA","GSL",2,"4X2",801271
"Activo","ALE","GSL",4,"4X2",801272
"Activo","ALE","GSL",4,"4X2",801273
"Activo","ALE","GSL",5,"4X2",801274
"Activo","ALE","GSL",2,"4X2",801275
"Activo","ALE","GSL",4,"4X2",801276
"Activo","ALE","GSL",2,"4X2",801277
"Activo","ALE","GSL",4,"4X2",801278
"Activo","ALE","GSL",4,"4X2",801279
"Activo","ALE","GSL",2,"4X2",801280
"Activo","ALE","GSL",4,"4X2",801281
"Activo","ALE","GSL",5,"4X2",801282
"Activo","ALE","GSL",4,"4X2",801283
"Activo","ALE","GSL",4,"4X2",801284
"Activo","ALE","DSL",5,"4X2",801285
"Activo","ALE","GSL",2,"4X2",801286
"Activo","ALE","GSL",4,"4X2",801287
"Activo","ALE","GSL",4,"4X2",801288
"Activo","ALE","GSL",4,"4X2",801289
"Activo","ALE","DSL",5,"4X2",801290
"Activo","ALE","GSL",2,"4X2",801291
"Activo","ALE","GSL",2,"4X2",801292
"Activo","ALE","DSL",4,"4X2",801293
"Activo","ALE","DSL",4,"4X2",801294
"Activo","ALE","GSL",2,"4X2",801295
"Activo","ALE","GSL",4,"4X2",801296
"Activo","ALE","DSL",4,"4X2",801297
"Activo","ALE","GSL",3,"4X2",801298
"Activo","ALE","GSL",2,"4X2",801299
"Activo","ALE","GSL",2,"4X2",801300
"Activo","ALE","GSL",2,"4X2",801301
"Activo","ALE","GSL",2,"4X2",801302
"Activo","ALE","GSL",3,"4X2",801303
"Activo","ALE","GSL",4,"4X2",801304
"Activo","ALE","GSL",4,"4X2",801305
"Activo","ALE","GSL",4,"4X2",801306
"Activo","ALE","GSL",4,"4X2",801307
"Activo","ALE","GSL",2,"4X2",801308
"Activo","ALE","DSL",4,"4X2",801309
"Activo","ALE","GSL",4,"4X2",801310
"Activo","ALE","GSL",4,"4X2",801311
"Activo","ALE","GSL",2,"4X2",801312
"Activo","ALE","GSL",2,"4X2",801313
"Activo","ALE","GSL",5,"4X2",801314
"Activo","ALE","GSL",5,"4X2",801315
"Activo","ALE","GSL",4,"4X2",801316
"Activo","ALE","GSL",4,"4X2",801317
"Activo","ALE","GSL",5,"4X2",801318
"Activo","ALE","GSL",5,"4X2",801319
"Activo","ALE","DSL",4,"4X2",801320
"Activo","ALE","GSL",4,"4X2",801321
"Activo","ALE","GSL",4,"4X2",801322
"Activo","ALE","DSL",5,"4X2",801323
"Activo","ALE","GSL",2,"4X2",801324
"Activo","ALE","DSL",5,"4X2",801325
"Activo","ALE","GSL",5,"4X2",801326
"Activo","ALE","GSL",5,"4X2",801327
"Activo","ALE","GSL",4,"4X2",801328
"Activo","ALE","GSL",4,"4X2",801329
"Activo","ALE","GSL",4,"4X2",801330
"Activo","ALE","GSL",4,"4X2",801331
"Activo","ALE","GSL",4,"4X2",801332
